시군구,동반자유형,만족도,재방문의도,타인추천의도,성별,연령대,평점,법정동코드
대구광역시 동구,가족,4,4,4,여,50대,4.933333333333334,27140
경기도 성남시,비가족,4,4,4,남,50대,4.933333333333334,41130
경기도 수원시,비가족,4,4,3,여,20대,4.433333333333334,41110
경상북도 영주시,가족,4,4,3,여,50대,4.433333333333334,47210
경기도 양평군,가족,4,4,4,여,15~19세,4.933333333333334,41830
강원특별자치도 원주시,비가족,4,4,4,여,50대,4.933333333333334,42130
경기도 하남시,비가족,4,4,4,남,20대,4.933333333333334,41450
제주특별자치도 제주시,가족,4,4,4,여,70세 이상,4.933333333333334,50110
강원특별자치도 홍천군,가족,4,4,4,여,50대,4.933333333333334,42720
강원특별자치도 춘천시,가족,4,4,4,여,30대,4.933333333333334,42110
부산광역시 해운대구,비가족,4,4,4,남,60대,4.933333333333334,26350
강원특별자치도 속초시,비가족,4,4,4,남,20대,4.933333333333334,42210
경기도 가평군,가족,4,4,3,남,40대,4.433333333333334,41820
경기도 파주시,가족,4,4,4,여,50대,4.933333333333334,41480
충청남도 태안군,가족,4,4,4,여,30대,4.933333333333334,44825
강원특별자치도 속초시,비가족,4,4,4,남,30대,4.933333333333334,42210
경기도 성남시,가족,4,4,4,남,50대,4.933333333333334,41130
제주특별자치도 제주시,가족,4,4,4,여,70세 이상,4.933333333333334,50110
강원특별자치도 원주시,가족,4,4,4,여,50대,4.933333333333334,42130
경기도 남양주시,가족,4,4,4,남,30대,4.933333333333334,41360
세종특별자치시,가족,4,4,4,남,60대,4.933333333333334,36110
제주특별자치도 제주시,가족,4,3,4,남,40대,4.533333333333333,50110
경기도 양평군,가족,4,4,4,여,30대,4.933333333333334,41830
경상남도 고성군,비가족,4,3,4,여,60대,4.533333333333333,48820
경기도 연천군,가족,4,4,3,남,30대,4.433333333333334,41800
제주특별자치도 서귀포시,가족,4,4,4,여,50대,4.933333333333334,50130
경기도 하남시,가족,4,4,4,여,40대,4.933333333333334,41450
강원특별자치도 속초시,가족,4,3,4,여,60대,4.533333333333333,42210
광주광역시 남구,가족,4,4,4,남,60대,4.933333333333334,29155
강원특별자치도 홍천군,비가족,4,4,4,여,20대,4.933333333333334,42720
인천광역시 중구,가족,4,4,4,여,50대,4.933333333333334,28110
강원특별자치도 양양군,가족,4,4,4,여,60대,4.933333333333334,42830
강원특별자치도 춘천시,비가족,4,4,4,여,30대,4.933333333333334,42110
경기도 용인시,비가족,4,4,4,여,20대,4.933333333333334,41460
경기도 포천시,가족,4,4,5,여,60대,5.433333333333334,41650
제주특별자치도 제주시,비가족,4,4,4,남,20대,4.933333333333334,50110
경기도 양주시,가족,4,4,4,남,40대,4.933333333333334,41630
강원특별자치도 화천군,비가족,4,4,4,남,50대,4.933333333333334,42790
경기도 연천군,비가족,4,4,4,여,30대,4.933333333333334,41800
대구광역시 달성군,비가족,4,4,4,남,30대,4.933333333333334,27710
강원특별자치도 속초시,비가족,4,4,4,남,30대,4.933333333333334,42210
충청남도 서산시,가족,4,4,4,여,50대,4.933333333333334,44210
강원특별자치도 속초시,비가족,4,4,4,여,30대,4.933333333333334,42210
인천광역시 강화군,비가족,4,4,4,남,20대,4.933333333333334,28710
제주특별자치도 제주시,가족,5,4,4,남,50대,5.266666666666667,50110
경기도 파주시,비가족,5,5,4,남,20대,5.666666666666667,41480
제주특별자치도 제주시,가족,5,4,4,여,60대,5.266666666666667,50110
경기도 고양시,가족,4,4,4,남,30대,4.933333333333334,41280
강원특별자치도 평창군,가족,5,4,4,여,40대,5.266666666666667,42760
경기도 화성시,비가족,5,4,4,남,20대,5.266666666666667,41590
경기도 가평군,비가족,4,4,4,여,20대,4.933333333333334,41820
경기도 포천시,가족,4,4,4,여,70세 이상,4.933333333333334,41650
제주특별자치도 제주시,비가족,4,4,4,남,40대,4.933333333333334,50110
강원특별자치도 속초시,가족,4,4,4,여,40대,4.933333333333334,42210
강원특별자치도 양양군,가족,4,4,4,남,40대,4.933333333333334,42830
경기도 남양주시,비가족,4,4,4,여,20대,4.933333333333334,41360
부산광역시 해운대구,가족,5,4,4,남,40대,5.266666666666667,26350
제주특별자치도 서귀포시,비가족,5,4,4,여,50대,5.266666666666667,50130
강원특별자치도 속초시,가족,4,4,4,남,60대,4.933333333333334,42210
전라남도 여수시,가족,5,5,4,여,30대,5.666666666666667,46130
제주특별자치도 제주시,가족,4,4,4,여,30대,4.933333333333334,50110
강원특별자치도 양양군,비가족,4,4,4,남,30대,4.933333333333334,42830
경기도 양평군,비가족,4,4,4,여,20대,4.933333333333334,41830
경기도 양평군,비가족,4,4,4,남,70세 이상,4.933333333333334,41830
전라남도 순천시,가족,4,4,4,남,20대,4.933333333333334,46150
강원특별자치도 강릉시,가족,4,4,4,여,40대,4.933333333333334,42150
경기도 용인시,비가족,4,4,4,여,30대,4.933333333333334,41460
인천광역시 중구,비가족,4,4,4,남,30대,4.933333333333334,28110
인천광역시 강화군,가족,4,4,4,남,40대,4.933333333333334,28710
경기도 용인시,가족,4,4,4,여,60대,4.933333333333334,41460
강원특별자치도 원주시,가족,4,4,4,여,40대,4.933333333333334,42130
제주특별자치도 서귀포시,비가족,4,4,4,여,20대,4.933333333333334,50130
경기도 이천시,비가족,4,4,4,여,20대,4.933333333333334,41500
강원특별자치도 삼척시,비가족,5,5,4,여,60대,5.666666666666667,42230
인천광역시 강화군,비가족,5,4,4,남,40대,5.266666666666667,28710
전라북도 고창군,비가족,5,4,4,여,40대,5.266666666666667,45790
충청남도 서천군,가족,4,4,4,남,15~19세,4.933333333333334,44770
강원특별자치도 횡성군,가족,4,4,4,남,30대,4.933333333333334,42730
경상북도 울진군,가족,4,4,4,남,40대,4.933333333333334,47930
부산광역시 서구,가족,5,4,4,여,20대,5.266666666666667,26140
제주특별자치도 제주시,비가족,5,5,4,여,60대,5.666666666666667,50110
전라남도 순천시,가족,4,4,4,여,30대,4.933333333333334,46150
강원특별자치도 강릉시,가족,4,4,4,남,40대,4.933333333333334,42150
경기도 가평군,비가족,4,4,4,남,20대,4.933333333333334,41820
전라남도 여수시,가족,4,5,4,남,40대,5.333333333333333,46130
인천광역시 중구,비가족,5,4,4,남,20대,5.266666666666667,28110
강원특별자치도 삼척시,비가족,4,4,4,여,20대,4.933333333333334,42230
제주특별자치도 제주시,가족,5,4,4,여,50대,5.266666666666667,50110
경상북도 경주시,가족,4,4,4,여,40대,4.933333333333334,47130
인천광역시 강화군,가족,4,4,4,여,30대,4.933333333333334,28710
제주특별자치도 서귀포시,비가족,5,4,4,여,60대,5.266666666666667,50130
강원특별자치도 속초시,가족,5,4,4,여,50대,5.266666666666667,42210
강원특별자치도 화천군,가족,4,4,4,남,60대,4.933333333333334,42790
강원특별자치도 삼척시,비가족,4,5,4,여,50대,5.333333333333333,42230
충청남도 태안군,비가족,5,4,4,여,40대,5.266666666666667,44825
강원특별자치도 삼척시,비가족,5,5,4,여,60대,5.666666666666667,42230
강원특별자치도 춘천시,비가족,5,4,4,여,50대,5.266666666666667,42110
강원특별자치도 원주시,비가족,5,4,4,여,20대,5.266666666666667,42130
경상남도 통영시,가족,4,4,4,여,60대,4.933333333333334,48220
전라남도 고흥군,가족,5,4,4,남,40대,5.266666666666667,46770
제주특별자치도 서귀포시,가족,4,4,4,여,50대,4.933333333333334,50130
